[2023-11-01 08:39:56] | UserAccount_ID: 1 | UserID: NULL | Action: /admin | 
[2023-11-01 08:39:56] | UserAccount_ID: 1 | UserID: NULL | Action: /admin-login | 
[2023-11-01 08:41:12] | UserAccount_ID: 1 | UserID: NULL | Action: /admin-login | email: test@gmail.com | password: ******** | 
[2023-11-01 08:41:12] | UserAccount_ID: 1 | UserID: NULL | Action: /admin-dashboard | 
[2023-11-01 08:41:24] | UserAccount_ID: 1 | UserID: NULL | Action: / | 
[2023-11-01 08:41:26] | UserAccount_ID: 1 | UserID: NULL | Action: /add-to-cart/4 | 
[2023-11-01 08:41:27] | UserAccount_ID: 1 | UserID: NULL | Action: /add-to-cart/5 | 
[2023-11-01 08:41:28] | UserAccount_ID: 1 | UserID: NULL | Action: /cart | 
[2023-11-01 08:41:30] | UserAccount_ID: 1 | UserID: NULL | Action: /login | 
[2023-11-01 08:41:36] | UserAccount_ID: 1 | UserID: NULL | Action: /login | email: test@gmail.com | password: ******** | 
[2023-11-01 08:41:36] | UserAccount_ID: 1 | UserID: 14 | Action: / | 
[2023-11-01 08:41:40] | UserAccount_ID: 1 | UserID: 14 | Action: /cart | 
[2023-11-01 08:41:41] | UserAccount_ID: 1 | UserID: 14 | Action: /checkout-order/false | 
[2023-11-01 08:41:41] | UserAccount_ID: 1 | UserID: 14 | Action: /payment/76/1080 | 
[2023-11-01 08:41:42] | UserAccount_ID: 1 | UserID: 14 | Action: /order-paid/76 | 
[2023-11-01 08:41:45] | UserAccount_ID: 1 | UserID: 14 | Action: /order | 
[2023-11-01 08:44:31] | UserAccount_ID: 1 | UserID: 14 | Action: /about | 
[2023-11-01 08:44:32] | UserAccount_ID: 1 | UserID: 14 | Action: /about | 
[2023-11-01 08:44:32] | UserAccount_ID: 1 | UserID: 14 | Action: /products | 
[2023-11-01 08:44:33] | UserAccount_ID: 1 | UserID: 14 | Action: /products | 
[2023-11-01 08:44:34] | UserAccount_ID: 1 | UserID: 14 | Action: /cart | 
[2023-11-01 08:44:35] | UserAccount_ID: 1 | UserID: 14 | Action: /ordered | 
[2023-11-01 08:44:39] | UserAccount_ID: 1 | UserID: 14 | Action: /orderinfo/73 | 
[2023-11-01 08:44:41] | UserAccount_ID: 1 | UserID: 14 | Action: /products | 
[2023-11-01 08:44:45] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/45 | 
[2023-11-01 08:45:15] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/4 | 
[2023-11-01 08:45:15] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/4 | 
[2023-11-01 08:45:15] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/4 | 
[2023-11-01 08:45:15] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/4 | 
[2023-11-01 08:45:16] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/4 | 
[2023-11-01 08:45:16] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/4 | 
[2023-11-01 08:45:16] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/4 | 
[2023-11-01 08:45:16] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/4 | 
